Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Bodyweight Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Bodyweight,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Barbell Close Grip Incline Bench Press,Video Demonstration,,Novice,Triceps,Triceps Brachii,Pectoralis Major,Barbell,Bench (Incline),1,Seated,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Barbell Close Grip Decline Bench Press,,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,Barbell,Bench (Decline),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Push Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Push Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Alternating Double Dumbbell Push Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Single Arm Kettlebell Bottoms Up Push Jerk,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Cable Rope Tall Kneeling Overhead Tricep Extension,Video Demonstration,,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Cable,None,0,Tall Kneeling,Double Arm,Neutral,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Alternating Double Kettlebell Push Jerk,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Double Dumbbell Push Jerk,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Alternating Double Kettlebell Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Push Jerk,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Alternating Double Dumbbell Push Jerk,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Double Plate Seated Lu Raise,,,Novice,Shoulders,Infraspinatus,Posterior Deltoids,Weight Plate,Bench (Flat),1,Seated,Double Arm,Other,Overhead,Continuous,Shoulder Abduction,,Frontal Plane,Upper Body,Unsorted*,Compound,Mobility
Double Kettlebell Bottoms Up Floor Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Kettlebell Bottoms Up Floor Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Floor Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Single Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Trap Bar Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Trap Bar,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Trap Bar Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Trap Bar,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Trap Bar Shrug,Video Demonstration,,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Trap Bar,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Scapular Elevation,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Bodyweight Tuck L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Tuck L Sit,Double Arm,Flat Palm,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Calisthenics
Parallette Straddle L Sit,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Parallette Bars,None,0,L Sit,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Calisthenics
Ring Turned Out L Sit,,,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,L Sit,Double Arm,Supinated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Calisthenics
Battle Rope Power Slam,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Other,Compound,Unsorted*
Bodyweight Manna ,Video Demonstration,Video Explanation,Grand Master,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Other,Double Arm,Flat Palm,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Ring Tuck Back Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Advanced Tuck Back Lever,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Straddle Back Lever,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Half Lay Back Lever,,,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Single Leg Out Back Lever,,,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Full Back Lever,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Trap Bar Floor Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Trap Bar,None,0,Supine,Double Arm,Neutral,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Trap Bar Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Trap Bar,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Ring Handstand Lower to Back Lever,,,Master,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Inverted,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Unsorted*,Compound,Calisthenics
Ring Tuck Front Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Advanced Tuck Front Lever,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Straddle Front Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Half Lay Front Lever,,,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Single Leg Out Front Lever,,,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Full Front Lever,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Front Lever Pull to Inverted Hang,,,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Ring Inverted Hang,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Single Arm Barbell Kneeling Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Barbell,None,0,Kneeling,Single Arm,Pronated,Other,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Unsorted*
Single Arm Barbell Standing Rollout,,,Expert,Abdominals,Rectus Abdominis,Latissimus Dorsi,Barbell,None,0,Standing,Single Arm,Pronated,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Unsorted*
Ring Circle Front Lever,,,Expert,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Transverse Plane,Full Body,Other,Compound,Calisthenics
Trap Bar Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Trap Bar,None,0,Tall Kneeling,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Trap Bar Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Trap Bar,Bench (Flat),1,Supine,Double Arm,Neutral,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Seated Floor,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Half Kneeling,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Half Kneeling,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Tall Kneeling,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Tall Kneeling,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Half Kneeling,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Tall Kneeling,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Plate Incline Bench Prone Y Raise,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,Weight Plate,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Unsorted*,,Frontal Plane,Upper Body,Pull,Pull,Postural
Single Arm Kettlebell Pendlay Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,Kettlebell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Barbell Floor Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Barbell,None,0,Supine,Double Arm,Neutral,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Ring Plank,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Prone,Double Arm,Neutral,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Calisthenics
Single Arm Ring Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Prone,Single Arm,Neutral,No Load,Continuous,Anti-Rotational,Anti-Extension,Sagittal Plane,Core,Other,Compound,Calisthenics
Battle Rope Alternating Outward Circle,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Other,Compound,Unsorted*
Battle Rope Alternating Inward Circle,,,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Other,Compound,Unsorted*
Ring Support Hold,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Hanging,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Upper Body,Other,Compound,Calisthenics
Ring Side Plank,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,Gymnastic Rings,None,0,Side Plank,Single Arm,Neutral,No Load,Continuous,Anti-Lateral Flexion,,Frontal Plane,Core,Other,Compound,Calisthenics
Barbell Reverse Grip Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Barbell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Macebell Offset Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Macebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Horizontal Pull,Anti-Lateral Flexion,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Macebell Reverse Grip Offset Bent Over Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Rhomboids,Macebell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Horizontal Pull,Anti-Lateral Flexion,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Alternating Single Arm Kettlebell Pendlay Row,,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Kettlebell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Bodyweight Hollow Body Rock ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Supine,Double Arm,No Grip,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Unsorted*
Single Arm Dumbbell Power Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Dumbbell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Alternating Single Arm Dumbbell Power Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Single Arm Dumbbell Squat Snatch,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Dumbbell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,Hip Hinge,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Alternating Single Arm Dumbbell Squat Snatch,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,Hip Hinge,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Single Arm Cable Single Leg Romanian Deadlift,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Cable,None,0,Single Leg Standing,Single Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Double Kettlebell Suitcase Cyclist Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Slant Board,1,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Suitcase Cyclist Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Slant Board,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Front Rack Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Incline Bench Prone Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Dumbbell Incline Bench Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,Bench (Incline),1,Prone,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Dumbbell Spider Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Prone,Single Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Kettlebell Spider Curl,,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Kettlebell,Bench (Incline),1,Prone,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Kettlebell Bottoms Up Incline Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Incline),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Seated Good Morning,Video Demonstration,Video Explanation,Novice,Back,Erector Spinae,Gluteus Maximus,Dumbbell,Bench (Flat),1,Seated,Double Arm,Neutral,Low Hold,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Bodyweight Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Bench (Flat),1,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Double Kettlebell Front Rack Box Pistol Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Alternating Double Kettlebell Bottoms Up Incline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Incline),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Incline Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Incline),1,Supine,Single Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Kettlebell Incline Bench Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Incline Bench Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Incline),1,Prone,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Ring Side Plank Reach Through,,,Expert,Abdominals,Obliques,Rectus Abdominis,Gymnastic Rings,None,0,Side Plank,Single Arm,Neutral,No Load,Continuous,Anti-Lateral Flexion,Spinal Rotational,Transverse Plane,Core,Other,Compound,Calisthenics
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Bench (Flat),1,Single Leg Supported,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Knee Over Toe Split Squat,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Suitcase Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Overhead Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Overhead Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
